name,type,type_multiplier,priority,priority_multiplier,stack,estimated_hours,complexity_points
Task_52,Planned Task,1.0,High,1.0,BE,11,3
Task_53,Planned Task,1.0,Medium,0.5,DS,23,5
Task_54,Planned Task,1.0,Medium,0.5,BE,7,2
Task_55,Planned Task,1.0,Low,0.25,FE,15,8
Task_56,Planned Task,1.0,High,1.0,DS,14,3
Task_57,Planned Task,1.0,Medium,0.5,FE,5,3
Task_58,Spike,1.0,Low,0.25,MO,14,3
Task_59,Unplanned Task,1.25,High,1.0,BE,9,3
Task_60,Spike,1.0,Medium,0.5,MO,7,2
Task_61,Planned Task,1.0,High,1.0,BE,8,3
Task_62,Planned Task,1.0,Low,0.25,BE,22,8
Task_63,Planned Task,1.0,Medium,0.5,MO,9,2
Task_64,Critical Bug,2.5,Disaster,2.0,BE,10,3
Task_65,Planned Task,1.0,Medium,0.5,BE,11,5
Task_66,Unplanned Task,1.25,Low,0.25,BE,2,1
Task_67,Planned Task,1.0,Medium,0.5,BE,2,1
Task_68,Bug,1.5,Medium,0.5,BE,11,3
Task_69,Planned Task,1.0,Medium,0.5,FE,9,5
Task_70,Unplanned Task,1.25,Low,0.25,DB,4,2
Task_71,Planned Task,1.0,Low,0.25,MO,22,5
Task_72,Technical Debt,1.25,Medium,0.5,BE,30,8
Task_73,Planned Task,1.0,Medium,0.5,BE,13,5
Task_74,Planned Task,1.0,Medium,0.5,FE,9,3
Task_75,Planned Task,1.0,High,1.0,DS,14,5
Task_76,Planned Task,1.0,High,1.0,BE,8,3
Task_77,Planned Task,1.0,High,1.0,BE,11,3
Task_78,Planned Task,1.0,High,1.0,BE,14,5
Task_79,Spike,1.0,Low,0.25,BE,16,5
Task_80,Planned Task,1.0,Low,0.25,FE,18,8
Task_81,Planned Task,1.0,Medium,0.5,BE,12,3
Task_82,Critical Bug,2.5,Disaster,2.0,BE,12,3
Task_83,Planned Task,1.0,Medium,0.5,BE,3,1
Task_84,Spike,1.0,Medium,0.5,MO,37,8
Task_85,Planned Task,1.0,Medium,0.5,BE,3,1
Task_86,Unplanned Task,1.25,Low,0.25,BE,19,8
Task_87,Planned Task,1.0,High,1.0,MO,25,5
Task_88,Planned Task,1.0,High,1.0,BE,5,2
Task_89,Planned Task,1.0,Medium,0.5,BE,4,1
Task_90,Technical Debt,1.25,Medium,0.5,BE,2,1
Task_91,Planned Task,1.0,Low,0.25,MO,16,5
Task_92,Planned Task,1.0,Medium,0.5,FE,4,2
Task_93,Bug,1.5,High,1.0,BE,11,5
Task_94,Planned Task,1.0,Low,0.25,MO,7,2
Task_95,Planned Task,1.0,Medium,0.5,BE,25,8
Task_96,Planned Task,1.0,Low,0.25,MO,9,2
Task_97,Planned Task,1.0,High,1.0,BE,4,1
Task_98,Planned Task,1.0,Low,0.25,DE,21,8
Task_99,Bug,1.5,Critical,1.5,BE,4,2
Task_100,Planned Task,1.0,Low,0.25,BE,25,8
Task_101,Planned Task,1.0,Low,0.25,DE,19,8
Task_102,Spike,1.0,Low,0.25,FE,16,5
Task_103,Planned Task,1.0,Medium,0.5,DS,9,2
Task_104,Planned Task,1.0,Medium,0.5,DB,9,5
Task_105,Planned Task,1.0,Medium,0.5,MO,22,5
Task_106,Unplanned Task,1.25,High,1.0,BE,20,8
Task_107,Unplanned Task,1.25,Low,0.25,FE,5,2
Task_108,Planned Task,1.0,High,1.0,BE,18,8
Task_109,Planned Task,1.0,Medium,0.5,BE,17,5
Task_110,Planned Task,1.0,Low,0.25,DE,3,1
Task_111,Spike,1.0,Low,0.25,FE,17,5
Task_112,Technical Debt,1.25,Medium,0.5,DB,18,5
Task_113,Planned Task,1.0,High,1.0,DS,15,3
Task_114,Critical Bug,2.5,Critical,1.5,BE,9,3
Task_115,Planned Task,1.0,Low,0.25,MO,22,8
Task_116,Technical Debt,1.25,Medium,0.5,DE,15,5
Task_117,Planned Task,1.0,Medium,0.5,FE,4,2
Task_118,Unplanned Task,1.25,Low,0.25,FE,1,1
Task_119,Planned Task,1.0,Medium,0.5,DS,19,5
Task_120,Planned Task,1.0,Low,0.25,DS,10,3
Task_121,Technical Debt,1.25,Medium,0.5,FE,12,5
Task_122,Bug,1.5,High,1.0,DE,7,3
Task_123,Planned Task,1.0,Low,0.25,BE,8,2
Task_124,Planned Task,1.0,High,1.0,DS,26,5
Task_125,Planned Task,1.0,Low,0.25,DS,2,1
Task_126,Critical Bug,2.5,Critical,1.5,DS,22,8
Task_127,Planned Task,1.0,Low,0.25,BE,6,2
Task_128,Planned Task,1.0,Medium,0.5,DE,1,1
Task_129,Unplanned Task,1.25,Medium,0.5,FE,24,8
